model,r2_cv_mean,mae_cv_mean,rmse_cv_mean,r2_test,mae_test,rmse_test
RidgeCV,0.9869797219697677,5067.742200255657,7877.040147665413,0.9861996574604093,4392.944409883704,63085173.16095657
LinearRegression,0.9869781964758758,5087.73990166168,7874.351545550201,0.9861974540530325,4391.186832042047,63095245.54397984
GradientBoosting,0.9887568594305562,4362.390169597767,7348.48259329733,0.9819369270232284,4791.967752745094,82571290.04512571
RandomForest,0.9877053090153435,4297.3492127016125,7591.180587154488,0.9806603432168898,4482.295512820513,88406906.82393494
SVR_RBF,-0.32797316810258254,48960.17541026626,80251.506010283,-0.34851585093374116,44810.934589039476,6164438000.172494
