Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield,cluster_kmeans,cluster_agglo
0,2248.92,17.72,83.4,26.01,11560,3,2
0,1938.42,17.54,82.11,26.11,11253,3,2
0,2301.54,17.81,82.79,26.24,9456,3,2
0,2592.35,17.61,85.07,25.56,9321,7,6
0,2344.72,17.61,84.12,25.76,8800,7,6
0,2339.3,17.7,84.54,25.76,8850,7,6
0,2326.09,18.09,84.63,26.11,9003,2,3
0,2718.08,18.3,85.43,26.12,9880,6,4
0,2061.61,17.8,84.36,25.88,9201,7,6
0,1934.62,17.94,83.43,26.21,8300,3,2
0,2217.12,18.03,84.39,26.1,5765,2,3
0,2249.7,18.01,84.24,26.11,5812,2,3
0,2530.96,18.15,85.33,26.02,6667,2,3
0,2504.7,18.19,85.45,26.02,6530,2,3
0,2686.2,18.38,85.77,26.13,6912,6,4
0,2414.79,18.18,85.76,25.93,7138,2,3
0,1999.53,18.2,84.36,26.27,7525,2,2
0,2362.8,18.7,84.03,26.79,7663,1,0
0,2792.95,18.24,86.04,25.95,8300,6,4
0,2751.24,18.31,85.98,26.02,9274,6,4
0,2646.28,18.4,86.02,26.1,9956,6,4
0,2302.99,18.22,84.48,26.25,9801,2,3
0,2692.34,18.37,85.54,26.18,7965,6,4
0,2424.55,18.28,85.16,26.18,7919,2,3
0,2363.63,18.35,84.92,26.28,8226,2,3
0,2892.78,18.49,86.09,26.18,10062,6,4
0,2729.53,18.41,86.03,26.11,12362,6,4
0,3085.79,18.34,86.1,26.03,13056,6,4
0,2922.18,18.43,85.51,26.23,10058,6,4
0,2546.33,18.43,84.23,26.49,7795,1,0
0,2938.29,18.22,85.42,26.06,10737,6,4
0,2771.73,18.38,84.98,26.3,7979,6,0
0,2607.96,18.37,84.67,26.35,7066,1,0
0,2604.59,18.19,83.44,26.43,7991,1,0
0,2308.51,18.27,83.65,26.47,11108,1,0
0,2410.13,18.58,83.45,26.81,11487,1,0
0,2967.41,18.67,85.48,26.46,7314,6,4
0,2333.46,18.5,84.85,26.43,9502,1,0
0,2109.34,18.51,83.52,26.72,8848,1,0
1,2248.92,17.72,83.4,26.01,169783,4,5
1,1938.42,17.54,82.11,26.11,201436,4,5
1,2301.54,17.81,82.79,26.24,152343,4,5
1,2592.35,17.61,85.07,25.56,181826,4,5
1,2344.72,17.61,84.12,25.76,178183,4,5
1,2339.3,17.7,84.54,25.76,169781,4,5
1,2326.09,18.09,84.63,26.11,166042,4,5
1,2718.08,18.3,85.43,26.12,165262,0,7
1,2061.61,17.8,84.36,25.88,183004,4,5
1,1934.62,17.94,83.43,26.21,177543,4,5
1,2217.12,18.03,84.39,26.1,150428,4,5
1,2249.7,18.01,84.24,26.11,151070,4,5
1,2530.96,18.15,85.33,26.02,172165,0,7
1,2504.7,18.19,85.45,26.02,160862,0,7
1,2686.2,18.38,85.77,26.13,166136,0,7
1,2414.79,18.18,85.76,25.93,163541,0,7
1,1999.53,18.2,84.36,26.27,164772,5,5
1,2362.8,18.7,84.03,26.79,142425,5,1
1,2792.95,18.24,86.04,25.95,165993,0,7
1,2751.24,18.31,85.98,26.02,167621,0,7
1,2646.28,18.4,86.02,26.1,168476,0,7
1,2302.99,18.22,84.48,26.25,162240,5,1
1,2692.34,18.37,85.54,26.18,175629,0,7
1,2424.55,18.28,85.16,26.18,180323,0,1
1,2363.63,18.35,84.92,26.28,184629,5,1
1,2892.78,18.49,86.09,26.18,190626,0,7
1,2729.53,18.41,86.03,26.11,183544,0,7
1,3085.79,18.34,86.1,26.03,195523,0,7
1,2922.18,18.43,85.51,26.23,182696,0,7
1,2546.33,18.43,84.23,26.49,171189,5,1
1,2938.29,18.22,85.42,26.06,185831,0,7
1,2771.73,18.38,84.98,26.3,186959,0,1
1,2607.96,18.37,84.67,26.35,181496,5,1
1,2604.59,18.19,83.44,26.43,203399,5,1
1,2308.51,18.27,83.65,26.47,202379,5,1
1,2410.13,18.58,83.45,26.81,172601,5,1
1,2967.41,18.67,85.48,26.46,199074,0,7
1,2333.46,18.5,84.85,26.43,189657,5,1
1,2109.34,18.51,83.52,26.72,189896,5,1
2,2248.92,17.72,83.4,26.01,28409,3,2
2,1938.42,17.54,82.11,26.11,27619,3,2
2,2301.54,17.81,82.79,26.24,26041,3,2
2,2592.35,17.61,85.07,25.56,25187,7,6
2,2344.72,17.61,84.12,25.76,26648,7,6
2,2339.3,17.7,84.54,25.76,26399,7,6
2,2326.09,18.09,84.63,26.11,24686,2,3
2,2718.08,18.3,85.43,26.12,25251,6,4
2,2061.61,17.8,84.36,25.88,26251,7,6
2,1934.62,17.94,83.43,26.21,27694,3,2
2,2217.12,18.03,84.39,26.1,28178,2,3
2,2249.7,18.01,84.24,26.11,29918,2,3
2,2530.96,18.15,85.33,26.02,30348,2,3
2,2504.7,18.19,85.45,26.02,30614,2,3
2,2686.2,18.38,85.77,26.13,31619,6,4
2,2414.79,18.18,85.76,25.93,32510,2,3
2,1999.53,18.2,84.36,26.27,30676,2,2
2,2362.8,18.7,84.03,26.79,28829,1,0
2,2792.95,18.24,86.04,25.95,29415,6,4
2,2751.24,18.31,85.98,26.02,30640,6,4
2,2646.28,18.4,86.02,26.1,31101,6,4
2,2302.99,18.22,84.48,26.25,32385,2,3
2,2692.34,18.37,85.54,26.18,33596,6,4
2,2424.55,18.28,85.16,26.18,33260,2,3
2,2363.63,18.35,84.92,26.28,34221,2,3
2,2892.78,18.49,86.09,26.18,33907,6,4
2,2729.53,18.41,86.03,26.11,35277,6,4
2,3085.79,18.34,86.1,26.03,35836,6,4
2,2922.18,18.43,85.51,26.23,37205,6,4
2,2546.33,18.43,84.23,26.49,36361,1,0
2,2938.29,18.22,85.42,26.06,37468,6,4
2,2771.73,18.38,84.98,26.3,37972,6,0
2,2607.96,18.37,84.67,26.35,38763,1,0
2,2604.59,18.19,83.44,26.43,29855,1,0
2,2308.51,18.27,83.65,26.47,40223,1,0
2,2410.13,18.58,83.45,26.81,39775,1,0
2,2967.41,18.67,85.48,26.46,37496,6,4
2,2333.46,18.5,84.85,26.43,37704,1,0
2,2109.34,18.51,83.52,26.72,42550,1,0
3,2248.92,17.72,83.4,26.01,9322,3,2
3,1938.42,17.54,82.11,26.11,9223,3,2
3,2301.54,17.81,82.79,26.24,9866,3,2
3,2592.35,17.61,85.07,25.56,9718,7,6
3,2344.72,17.61,84.12,25.76,9573,7,6
3,2339.3,17.7,84.54,25.76,10024,7,6
3,2326.09,18.09,84.63,26.11,10285,2,3
3,2718.08,18.3,85.43,26.12,10010,6,4
3,2061.61,17.8,84.36,25.88,8604,7,6
3,1934.62,17.94,83.43,26.21,8002,3,2
3,2217.12,18.03,84.39,26.1,6913,2,3
3,2249.7,18.01,84.24,26.11,6546,2,3
3,2530.96,18.15,85.33,26.02,6077,2,3
3,2504.7,18.19,85.45,26.02,6333,2,3
3,2686.2,18.38,85.77,26.13,6448,6,4
3,2414.79,18.18,85.76,25.93,6562,2,3
3,1999.53,18.2,84.36,26.27,6008,2,2
3,2362.8,18.7,84.03,26.79,5693,1,0
3,2792.95,18.24,86.04,25.95,5249,6,4
3,2751.24,18.31,85.98,26.02,6484,6,4
3,2646.28,18.4,86.02,26.1,6348,6,4
3,2302.99,18.22,84.48,26.25,6597,2,3
3,2692.34,18.37,85.54,26.18,7435,6,4
3,2424.55,18.28,85.16,26.18,9139,2,3
3,2363.63,18.35,84.92,26.28,8857,2,3
3,2892.78,18.49,86.09,26.18,10159,6,4
3,2729.53,18.41,86.03,26.11,9612,6,4
3,3085.79,18.34,86.1,26.03,8599,6,4
3,2922.18,18.43,85.51,26.23,8337,6,4
3,2546.33,18.43,84.23,26.49,9205,1,0
3,2938.29,18.22,85.42,26.06,9701,6,4
3,2771.73,18.38,84.98,26.3,8865,6,0
3,2607.96,18.37,84.67,26.35,7817,1,0
3,2604.59,18.19,83.44,26.43,6275,1,0
3,2308.51,18.27,83.65,26.47,6721,1,0
3,2410.13,18.58,83.45,26.81,6248,1,0
3,2967.41,18.67,85.48,26.46,6842,6,4
3,2333.46,18.5,84.85,26.43,5571,1,0
3,2109.34,18.51,83.52,26.72,5903,1,0
